Index,English,Russian
726,actor-critic framework,фреймворк актёр-критик
727,actor-critic method,метод актор-критик
728,adapter-based fine-tuning,адаптерная тонкая настройка
729,adaptive boosting algorithm,алгоритм адаптивного бустинга
730,adaptive thresholding,адаптивная пороговая обработка
731,additive Gaussian noise,аддитивный гауссовский шум
732,additive noise,аддитивный шум
733,adjacency,смежность
734,adjacency matrix,матрица смежности
735,advantage function,функция преимущества
736,advcl,адвкл
737,adversarial attack,адверсариальная атака
738,adversarial dataset,адверсариальный датасет
739,adversarial example,адверсариальный пример
740,adversarial filtering,адверсариальная фильтрация
741,adversarial input,враждебный ввод
742,adversarial learning,состязательное обучение
743,adversarial loss,адверсариальная потеря
744,adversarial network,адверсариальная сеть
745,adversarial perturbation,противодействующее возмущение
746,adversarial prompt,адверсариальный запрос
747,adversarial robustness,адверсариальная устойчивость
748,adversarial training,противодействующее обучение
749,adversary,противник
750,advmod,наречный модификатор
751,affine,аффинный
752,affine subspace,аффинное подпространство
753,affine transform,аффинное преобразование
754,affine transformation,аффинное преобразование
755,affinity matrix,матрица аффинностей
756,affinity measure,мера аффинности
757,agent architecture,архитектура агента
758,agent learning,обучение агента
759,agent policy,политика агента
760,agent's policy,политика агента
761,agent-based model,Модель на основе агентов
762,aggregate function,агрегатная функция
763,aggregation,агрегация
764,aggregation function,функция агрегации
765,aleatoric uncertainty,алеаторическая неопределенность
766,algorithm class,Класс алгоритмов
767,algorithm design,проектирование алгоритмов
768,algorithmic approach,Алгоритмический подход
769,algorithmic bias,алгоритмическая предвзятость
770,algorithmic fairness,алгоритмическая справедливость
771,algorithmic nonresolvability,неразрешимость алгоритмическая
772,algorithmic resolvability,разрешимость алгоритмическая
773,algorithmic stability,Алгоритмическая стабильность
774,alias table,таблица псевдонимов
775,alignment algorithm,алгоритм выравнивания
776,alignment model,модель выравнивания
777,alpha compositing,Альфа-композитинг
778,alphabet size,размер алфавита
779,alternating least square,альтернирующий метод наименьших квадратов
780,alternating minimization,попеременная минимизация
781,ambient space,окружающее пространство
782,analogy,аналогия
783,anaphora,анафора
784,anaphora resolution,разрешение анафоры
785,anaphoric reference,ссылка анафорическая
786,ancestral sampling,анцестральная выборка
787,anchor,якорь
788,anchor box,якорная рамка
789,animation,графика динамическая
790,annotated corpus,аннотированный корпус
791,annotated datum,аннотированное данное
792,annotation artifact,артефакт аннотации
793,annotation projection,проекция аннотаций
794,annotator,аннотатор
795,annotator bias,предвзятость аннотатора
796,anomaly detection,обнаружение аномалий
797,anomaly score,балл аномалии
798,answer set,множество ответов
799,answer set solver,решатель множества ответов
800,answer span,интервал ответа
801,answer variable,переменная ответа
802,antecedent,антецедент
803,antireflexive relation,отношение антирефлексивное
804,antisymmetric relation,отношение антисимметричное
