Index,English,Japanese
763,algorithmic stability,アルゴリズムの安定性
765,alias table,エイリアステーブル
766,alignment algorithm,アライメントアルゴリズム
767,alignment model,アライメントモデル
768,alpha compositing,アルファ合成
769,alphabet size,アルファベットサイズ
770,alternating least square,交互最小二乗法
771,alternating minimization,交互最小化
772,ambient space,周囲空間
774,anaphora resolution,指示詞解決
775,anaphoric reference,照応参照
776,ancestral sampling,祖先サンプリング
777,anchor,アンカー
778,anchor box,アンカーボックス
780,annotated corpus,注釈付きコーパス
781,annotated datum,注釈付きデータ
783,annotation artifact,注釈アーティファクト
784,annotation projection,注釈投影
786,annotator,アノテーター
787,annotator bias,アノテーターのバイアス
789,anomaly detection,異常検知
790,anomaly score,異常スコア
792,answer set,解答集合
793,answer set solver,解答集合ソルバー
794,answer span,解答範囲
795,answer variable,解答変数
796,antecedent,前件
797,antithetic sampling,反対称サンプリング
798,anytime algorithm,エニタイムアルゴリズム
799,aperture problem,アパーチャ問題
800,appearance model,外観モデル
801,apprenticeship learning,アプレンティスシップ学習
803,approximate inference,近似推論
804,approximate inference algorithm,近似推論アルゴリズム
805,approximate posterior,近似事後分布
806,approximate posterior distribution,近似事後分布
807,approximate similarity search,近似類似検索
808,approximation,近似
809,approximation algorithm,近似アルゴリズム
810,approximation bound,近似境界
811,approximation error,近似誤差
812,approximation factor,近似因子
813,approximation guarantee,近似保証
814,approximation ratio,近似比
815,approximator,近似器
816,arc-factored model,アーク因子モデル
817,architectural modification,アーキテクチャの変更
818,architecture,アーキテクチャ
819,architecture search,アーキテクチャ探索
820,arg max,最大値を取る引数
821,arg min,最小化引数
822,argument,引数
823,argument identification,引数の特定
824,argument relation,引数関係
825,argument structure,引数構造
826,arity,アリティ
827,artificial agent,人工エージェント
828,artificial intelligence,人工知能
829,artificial intelligence system,人工知能システム
830,artificial neural network,人工ニューラルネットワーク
833,assignment problem,割り当て問題
834,association rule,アソシエーションルール
835,association rule mining,アソシエーションルールマイニング
836,asymmetric transformation,非対称変換
837,asymptotic bias,漸近バイアス
838,asymptotic notation,漸近表記
839,asymptotic variance,漸近分散
840,attack success rate,攻撃成功率
841,attention,注意
842,attention distribution,アテンション分布
843,attention function,アテンション関数
844,attention head,アテンションヘッド
845,attention layer,アテンション層
846,attention map,アテンションマップ
847,attention mask,アテンションマスク
848,attention matrix,アテンション行列
849,attention mechanism,アテンションメカニズム
850,attention model,アテンションモデル
851,attention module,アテンションモジュール
852,attention operation,アテンション操作
853,attention pattern,アテンションパターン
854,attention score,アテンションスコア
855,attention value,アテンション値
856,attention weight,アテンション重み
857,attention-based model,注意機構に基づくモデル
858,attribute,属性
859,attribution,帰属
860,augmentation,増強
862,augmented state space,拡張状態空間
863,auto-regressive language model,自己回帰言語モデル
864,auto-regressive model,自己回帰モデル
865,auto-regressive process,自己回帰過程
866,autocalibration,自動キャリブレーション
867,autocorrelation,自己相関
868,autodiff,自動微分
869,autoencoder,オートエンコーダ
870,automata,オートマトン
871,automated mechanism design,自動メカニズム設計
873,automatic differentiation,自動微分
874,automatic evaluation,自動評価
875,automatic post-editing,自動ポストエディット
876,automatic speech recognition,自動音声認識
878,automorphism,自己同型
879,autonomous agent,自律エージェント
880,autonomous vehicle,自律走行車
881,autoregressive decoder,自己回帰デコーダ
882,autoregressive generation,自己回帰生成
883,auxiliary classifier,補助分類器
884,auxiliary loss,補助損失
885,auxiliary task,補助タスク
886,auxiliary variable,補助変数
887,auxillary loss,補助損失
888,average loss,平均損失
889,averaged perceptron,平均パーセプトロン
890,averaged perceptron algorithm,平均パーセプトロンアルゴリズム
891,axis-aligned rectangle,軸に整列した長方形
892,back-off strategy,バックオフ戦略
893,back-propagate,バックプロパゲート
894,back-propagated gradient,バックプロパゲートされた勾配
895,back-propagation algorithm,バックプロパゲーションアルゴリズム
896,back-translation,バックトランスレーション
897,backbone model,バックボーンモデル
898,backbone network,バックボーンネットワーク
899,backdoor,バックドア
900,backdoor adjustment,バックドア調整
901,backdoor attack,バックドア攻撃
902,backdoor sample,バックドアサンプル
903,background model,背景モデル
904,background subtraction,背景差分
905,backoff model,バックオフモデル
906,backpointer,バックポインタ
907,backprojection,バックプロジェクション
908,backprop,バックプロップ
909,backtracking line search,バックトラッキングラインサーチ
910,backward pass,バックワードパス
911,bag of feature,特徴の袋
912,bag-of-word,バッグ・オブ・ワーズ
913,bag-of-word model,バッグ・オブ・ワーズモデル
914,bag-of-word representation,バッグ・オブ・ワーズ表現
915,bandit,バンディット
916,bandit feedback,バンディットフィードバック
917,bandit learning,バンディット学習
918,bandwidth parameter,帯域幅パラメータ
919,bart-base,バートベース
920,bart-large,バート大
921,barycentric coordinate,バリセントリック座標
922,base classifier,ベース分類器
923,base distribution,基底分布
924,base learner,ベースラーナー
925,base model,ベースモデル
926,baseline,ベースライン
927,baseline algorithm,ベースラインアルゴリズム
928,baseline method,ベースライン手法
929,baseline model,ベースラインモデル
930,baseline parser,ベースラインパーサー
931,baseline policy,ベースラインポリシー
932,baseline system,ベースラインシステム
934,basis function,基底関数
935,basis vector,基底ベクトル
936,batch algorithm,バッチアルゴリズム
937,batch dimension,バッチ次元
938,batch element,バッチ要素
939,batch learning,バッチ学習
940,batch mode,バッチモード
941,batch normalization,バッチ正規化
942,batch optimization,バッチ最適化
943,batch processing,バッチ処理
944,batch setting,バッチ設定
945,batch training,バッチトレーニング
946,beam search,ビームサーチ
947,beam search algorithm,ビームサーチアルゴリズム
948,beam search decoding,ビームサーチデコーディング
949,beam search decoding algorithm,ビームサーチデコーディングアルゴリズム
950,beam size,ビームサイズ
951,beam width,ビーム幅
952,behavior cloning,行動クローン
953,behavior policy,行動方針
954,belief propagation,信念伝播
955,belief state,信念状態
956,benchmark,ベンチマーク
957,benchmark dataset,ベンチマークデータセット
958,benchmark task,ベンチマークタスク
959,best-first search,最良優先探索
960,best-first search algorithm,最良優先探索アルゴリズム
961,beta distribution,ベータ分布
962,beta1,ベータ1
963,between-class variance,クラス間分散
964,betweenness,媒介中心性
965,bi-gram,バイグラム
966,bi-level optimization,バイレベル最適化
967,bias,バイアス
968,bias mitigation,バイアス軽減
969,bias parameter,バイアスパラメータ
970,bias term,バイアス項
971,bias vector,バイアスベクトル
972,bias-variance tradeoff,バイアス-分散トレードオフ
973,biased estimator,有偏推定量
975,bibliographic coupling,書誌的結合
976,bicubic interpolation,バイキュービック補間
978,bidirectional Transformer,双方向トランスフォーマー
979,bidirectional encoder,双方向エンコーダ
980,bidirectional heuristic search,双方向ヒューリスティック探索
981,bidirectional model,双方向モデル
982,bidirectional search,双方向探索
983,bidirectionality,双方向性
984,big-O notation,ビッグオー記法
985,bigram count,バイグラムカウント
986,bigram language model,バイグラム言語モデル
987,bijective function,全単射関数
988,bijective mapping,全単射写像
989,bilateral filtering,バイラテラルフィルタリング
990,bilinear,バイリニア
991,bilinear form,バイリニア形式
992,bilinear interpolation,バイリニア補間
993,bilinear model,バイリニアモデル
994,bilingual model,バイリンガルモデル
995,binarization,二値化
997,binary atom,二項原子
998,binary classification,バイナリ分類
999,binary classification head,バイナリ分類ヘッド
1000,binary classification problem,バイナリ分類問題
1001,binary classification task,バイナリ分類タスク
1002,binary classifier,バイナリ分類器
1003,binary constraint,バイナリ制約
1004,binary cross entropy,バイナリ交差エントロピー
1005,binary cross-entropy loss,バイナリ交差エントロピー損失
1006,binary decision tree,バイナリ決定木
1007,binary feature,バイナリ特徴
1008,binary label,バイナリラベル
1009,binary matrix,バイナリ行列
1010,binary predicate,バイナリ述語
1011,binary relation,バイナリ関係
1012,binary search,二分探索
1013,binary segmentation,二値セグメンテーション
1014,binary tree,二分木
1015,binary variable,二値変数
1016,binary vector,二値ベクトル
1017,binomial distribution,二項分布
1018,bioinformatic,バイオインフォマティクス
1019,biological neural network,生物学的ニューラルネットワーク
1020,bipartite,二部グラフ
1021,bipartite graph,二部グラフ
1022,bipartite matching,二部マッチング
1023,bipartite structure,二部構造
1024,birth-death process,出生・死亡過程
1025,bisection method,二分法
1026,bisimulation,バイシミュレーション
1027,bitext,バイテキスト
1028,bitvector,ビットベクター
1029,black-box,ブラックボックス
1030,black-box model,ブラックボックスモデル
1031,block coordinate descent,ブロック座標降下法
1032,block matrix,ブロック行列
1033,block-diagonal matrix,ブロック対角行列
1034,blur kernel,ブラーカーネル
1035,boosting algorithm,ブースティングアルゴリズム
1036,boosting approach,ブースティングアプローチ
1037,bootstrap learning,ブートストラップ学習
1038,bootstrap resampling,ブートストラップ再サンプリング
1039,bootstrap sample,ブートストラップサンプル
1040,bottleneck,ボトルネック
1041,bottleneck layer,ボトルネック層
1042,bottom-up,ボトムアップ
1043,bottom-up learning,ボトムアップ学習
1044,bottom-up module,ボトムアップモジュール
1045,bottom-up parsing,ボトムアップ構文解析
1046,bound variable,束縛変数
1047,bounded rationality,有界合理性
1048,bounding box,バウンディングボックス
1049,bounding box detection,バウンディングボックス検出
1050,bounding box regression,バウンディングボックス回帰
1051,bounding box regressor,バウンディングボックス回帰器
1052,branch and bound algorithm,分岐限定アルゴリズム
1053,branching factor,分岐係数
1054,breadth-first order,幅優先順序
1055,breadth-first search,幅優先探索
1056,brute force search,総当たり検索
1057,burn-in,バーンイン
1058,calculus of variation,変分法
1059,calibration,キャリブレーション
1060,calibration method,キャリブレーション手法
1061,camera calibration,カメラキャリブレーション
