Index,English,Arabic
662,Word Mover's Distance,مسافة مُحرك الكلمات
663,Word2Vec,Word2Vec
664,XLM,XLM
665,XLNet,XLNet
666,Z-score,درجة Z
667,Zipf,زيبف
668,Zipf distribution,توزيع زيـبف
669,Zipf's law,قانون زيبف
670,abductive explanation,الشرح الاستدلالي
671,ablation,استئصال
672,ablation analysis,تحليل الاجتثاث
673,ablation experiment,تجربة الإزالة
674,abstraction,التجريد
675,abstraction heuristic,ارشادي التجريد
676,abstractive summarization,التلخيص التجريدي
677,accelerated gradient descent,الانحدار التدرجي المتسارع
678,acceptance function,دالة القبول
679,acceptance probability,احتمالية القبول
680,accumulated error,الخطأ المتراكم
681,accuracy,الدقة
682,acoustic feature,الميزة الصوتية
683,acoustic model,النموذج الصوتي
684,acquisition function,دالة الاستحواذ
685,action classification,تصنيف الإجراءات
686,action embedding,تمثيل الأفعال
687,action recognition,التعرف على الأفعال
688,action sequence,تسلسل الأفعال
689,action set,مجموعة الإجراءات
690,action space,فضاء الإجراءات
691,action-value function,دالة قيمة الفعل
692,actionability,قابلية التنفيذ
693,activation,تفعيل
694,activation function,دالة تنشيط
695,activation matrix,مصفوفة التفعيل
696,activation vector,متجه التفعيل
697,active learning,التعلم النشط
698,active learning loop,حلقة التعلم النشط
699,active set,المجموعة النشطة
700,activity detection,اكتشاف النشاط
701,activity recognition,التعرف على النشاط
702,actor,الممثل
703,actor critic algorithm,خوارزمية الممثل-الناقد
704,actor network,شبكة الوكيل
705,actor-critic framework,إطار الفاعل والناقد
706,actor-critic method,طريقة الممثل-الناقد
707,adapter-based fine-tuning,الضبط الدقيق المعتمد على المحول
708,adaptive boosting algorithm,خوارزمية التعزيز التكيفية
709,adaptive thresholding,العتبة التكيفية
710,additive Gaussian noise,الضوضاء الجاوسية الإضافية
711,additive noise,الضوضاء المضافة
712,adjacency,المجاورة
713,adjacency matrix,مصفوفة التجاور
714,advantage function,دالة الفائدة
715,advcl,جملة ظرفية
716,adversarial attack,هجوم معادٍ
717,adversarial dataset,مجموعة بيانات خصمية
718,adversarial example,مثال خصومي
719,adversarial filtering,التصفية الخصمية
720,adversarial input,المدخلات العدائية
721,adversarial learning,التعلم العدائي
722,adversarial loss,الخسارة العدائية
723,adversarial machine training,تعلم الآلة العدائي
724,adversarial network,الشبكة العدائية
725,adversarial perturbation,اضطراب عدائي
726,adversarial prompt,موجه عدائي
727,adversarial robustness,الصلابة تجاه الهجمات العدائية
728,adversarial training,التدريب الخصمي
729,adversary,الخصم
730,advmod,معدل ظرفي
731,affine,تحويل أفيني
732,affine subspace,الفضاء الجزئي التآلفي
733,affine transform,تحويل أفيني
734,affine transformation,التحويل الأفيني
735,affinity matrix,مصفوفة التآلف
736,affinity measure,مقياس التآلف
737,agent architecture,بنية الوكيل
738,agent learning,تعلم الوكيل
739,agent policy,سياسة الوكيل
740,agent's policy,سياسة الوكيل
741,agent-based model,نموذج قائم على الوكلاء
742,aggregate function,دالة تجميعية
743,aggregation,التجميع
744,aggregation function,دالة التجميع
745,aleatoric uncertainty,عدم اليقين العشوائي
746,algorithm class,فئة الخوارزمية
747,algorithm design,تصميم الخوارزميات
748,algorithmic approach,النهج الخوارزمي
749,algorithmic bias,التحيز الخوارزمي
750,algorithmic fairness,العدالة الخوارزمية
751,algorithmic stability,الاستقرار الخوارزمي
752,alias table,جدول البدائل
753,alignment algorithm,خوارزمية المحاذاة
754,alignment model,نموذج المحاذاة
755,alpha compositing,التركيب الألفا
756,alphabet size,حجم الأبجدية
757,alternating least square,أقل المربعات المتناوبة
758,alternating minimization,التقليل بالتناوب
759,ambient space,الفضاء المحيط
760,analysis of algorithms,تحليل الخوارزميات
761,anaphora resolution,حل الإحالة
762,anaphoric reference,الإشارة الإحالية
763,ancestral sampling,أخذ العينات الأجدادية
764,anchor,مرساة
765,anchor box,صندوق المرساة
766,annotated corpus,مجموعة بيانات مُعَلَّمَة
767,annotated datum,بيانات مُعَلَّمَة
768,annotation artifact,عيب التوسيم
769,annotation projection,إسقاط التوسيم
770,annotator,المُعَلِّق
771,annotator bias,تحيز المُعَلِّق
772,anomaly detection,اكتشاف الشذوذ
773,anomaly score,درجة الشذوذ
774,answer set,مجموعة الإجابة
775,answer set solver,حلّال مجموعة الإجابات
776,answer span,نطاق الإجابة
777,answer variable,متغير الإجابة
778,antecedent,الشرط المسبق
779,antithetic sampling,أخذ العينات المضادة
780,anytime algorithm,خوارزمية في أي وقت
781,aperture problem,مشكلة الفتحة
782,appearance model,نموذج المظهر
783,apprenticeship learning,التعلم بالتلمذة
784,approximate inference,استدلال تقريبي
785,approximate inference algorithm,خوارزمية الاستدلال التقريبي
786,approximate posterior,التوزيع اللاحق التقريبي
787,approximate posterior distribution,التوزيع اللاحق التقريبي
788,approximate similarity search,بحث التشابه التقريبي
789,approximation,تقريب
790,approximation algorithm,خوارزمية تقريبية
791,approximation bound,حد التقريب
792,approximation error,خطأ التقريب
793,approximation factor,عامل التقريب
794,approximation guarantee,ضمان التقريب
795,approximation ratio,نسبة التقريب
796,approximator,المقرب
797,arc-factored model,نموذج معتمد على القوس
798,architectural modification,تعديل معماري
799,architecture,معمارية
800,architecture search,بحث في البنية
801,area under the ROC curve,المساحة تحت منحنى دّقة الأداء
802,arg max,أرج ماكس
803,arg min,الحد الأدنى للوسيطة
804,argument,حجة
805,argument identification,تحديد الحجة
806,argument relation,علاقة الحجة
807,argument structure,بنية المعامل
808,argumentation framework,إطار الحجج
809,arity,"""عدد المتغيرات"" (Number of variables)"
810,artificial agent,الوكيل الاصطناعي
811,artificial general intelligence,ذكاء اصطناعي عام
812,artificial intelligence,ذكاء اصطناعي
813,artificial intelligence markup language,لغة ترميز الذكاء الاصطناعي
814,artificial intelligence system,نظام الذكاء الاصطناعي
815,artificial neural network,شبكة عصبية اصطناعية
816,assignment problem,مشكلة التعيين
817,association rule,قاعدة الارتباط
818,association rule mining,تنقيب قواعد الارتباط
819,asymmetric transformation,التحول غير المتماثل
820,asymptotic bias,التحيز المقارب
821,asymptotic notation,تدوين مقارب
822,asymptotic variance,التباين المقارب
823,attack success rate,معدل نجاح الهجوم
824,attention,الانتباه
825,attention distribution,توزيع الانتباه
826,attention function,دالة الانتباه
827,attention head,رأس الانتباه
828,attention layer,طبقة الانتباه
829,attention map,خريطة الانتباه
830,attention mask,قناع الانتباه
831,attention matrix,مصفوفة الانتباه
832,attention mechanism,آلية الانتباه
833,attention model,نموذج الانتباه
834,attention module,وحدة الانتباه
835,attention operation,عملية الانتباه
836,attention pattern,نمط الانتباه
837,attention score,درجة الانتباه
838,attention value,قيمة الانتباه
839,attention weight,وزن الانتباه
840,attention-based model,النموذج القائم على الانتباه
841,attribute,خاصية
842,attribution,الإسناد
843,augmentation,زيادة البيانات
844,augmented state space,فضاء الحالة المُعزز
845,auto-regressive language model,نموذج اللغة ذاتي الانحدار
846,auto-regressive model,نموذج الانحدار التلقائي
847,auto-regressive process,نموذج الانحدار التلقائي
848,autocalibration,المعايرة الذاتية
849,autocorrelation,الارتباط الذاتي
850,autodiff,التفاضل التلقائي
851,autoencoder,المشفِّر التلقائي
852,autoencoders,مُرِّمز تلقائي
853,automata,الأوتوماتا
854,automated mechanism design,تصميم الآليات المؤتمتة
855,automated reasoning,استدلال مؤتمت
856,automatic differentiation,التفاضل التلقائي
857,automatic evaluation,التقييم التلقائي
858,automatic post-editing,التحرير اللاحق التلقائي
859,automatic speech recognition,التعرف التلقائي على الكلام
860,automorphism,التشاكل الذاتي
861,autonomic computing,حوسبة ذاتية
862,autonomous agent,الوكيل المستقل
863,autonomous vehicle,مركبة ذاتية القيادة
864,autoregressive decoder,فك الترميز الانحداري الذاتي
865,autoregressive generation,التوليد ذاتي الانحدار
866,auxiliary classifier,المصنف المساعد
867,auxiliary loss,الخسارة المساعدة
868,auxiliary task,المهمة المساعدة
869,auxiliary variable,متغير مساعد
870,auxillary loss,الخسارة المساعدة
871,average loss,متوسط الخسارة
872,averaged perceptron,البيرسبترون المتوسط
873,averaged perceptron algorithm,خوارزمية البرسيبترون المتوسط
874,axis-aligned rectangle,مستطيل محاذٍ للمحاور
875,back-off strategy,استراتيجية التراجع
876,back-propagate,الانتشار العكسي
877,back-propagated gradient,تدرج الانتشار العكسي
878,back-propagation algorithm,خوارزمية الانتشار الخلفي
879,back-translation,الترجمة العكسية
880,backbone model,نموذج الأساس
881,backbone network,شبكة العمود الفقري
882,backdoor,ثغرة خلفية
883,backdoor adjustment,تعديل الباب الخلفي
884,backdoor attack,هجوم الباب الخلفي
885,backdoor sample,عينة الباب الخلفي
886,background model,نموذج الخلفية
887,background subtraction,إزالة الخلفية
888,backoff model,نموذج التراجع
889,backpointer,المؤشر الخلفي
890,backprojection,الإسقاط الخلفي
891,backprop,الانتشار الخلفي
892,backtracking line search,البحث الخطي التراجعي
893,backward chaining,تسلسل عكسي
894,backward pass,المرور العكسي
895,bag of feature,حقيبة الميزات
896,bag-of-word,حقيبة كلمات
897,bag-of-word model,نموذج كيس الكلمات
898,bag-of-word representation,تمثيل حقيبة الكلمات
899,bandit,الباندت
900,bandit feedback,تغذية البانديت الراجعة
901,bandit learning,تعلم المقامر
902,bandwidth parameter,معلمة عرض النطاق الترددي
903,bart-base,بارت-قاعدة
904,bart-large,بارت-لارج
905,barycentric coordinate,إحداثيات باري مركزية
906,base classifier,المصنف الأساسي
907,base distribution,التوزيع الأساسي
908,base learner,المتعلم الأساسي
909,base model,النموذج الأساسي
910,baseline,خط الأساس
911,baseline algorithm,خوارزمية خط الأساس
912,baseline method,طريقة خط الأساس
913,baseline model,نموذج خط الأساس
914,baseline parser,محلل خط الأساس
915,baseline policy,سياسة خط الأساس
916,baseline system,نظام خط الأساس
917,basis function,دالة الأساس
