,English,French
741,Penn Treebank corpus,corpus Penn Treebank
742,Perron-Frobenius theorem,théorème de Perron-Frobenius
743,Pinsker's inequality,inégalité de Pinsker
744,Pitman-Yor Process,processus de Pitman-Yor
745,Platt scaling,mise à l'échelle de Platt
746,Pointwise Mutual Information,Information Mutuelle Point à Point
747,Poisson binomial distribution,distribution binomiale de Poisson
748,Poisson distribution,distribution de Poisson
749,Poisson matting,matting de Poisson
750,Poisson model,modèle de Poisson
751,Poisson point process,processus ponctuel de Poisson
752,Poisson process,processus de Poisson
753,Poisson random variable,variable aléatoire de Poisson
754,Poisson rate,taux de Poisson
755,Poisson regression,régression de Poisson
756,Poisson sampling,échantillonnage de Poisson
757,Potts model,modèle de Potts
758,Prim's algorithm,algorithme de Prim
759,Prolog,Prolog
760,Prop-Bank,Prop-Bank
761,Proposition,Proposition
5156,Proximal Policy Optimization,algorithme PPO
762,PubMed,PubMed
763,Py-Torch,PyTorch
764,PyTorch,PyTorch
765,Q function,fonction Q
766,Q value,valeur Q
767,Q-learning,apprentissage par fonction Q
768,Q-network,réseau Q
769,QA,QA
770,QED,QED
771,QR code,code QR
772,QR decomposition,décomposition QR
773,QR factorization,factorisation QR
774,QUOREF,QUOREF
775,Quality Estimation,Estimation de la qualité
776,Query expansion,expansion de requête
5215,Question Answering,question-réponse
777,R-Precision,R-Précision
778,REALM,REALM
779,RFID,identification par radiofréquence
780,RGF,RGF
781,RIPPER algorithm,algorithme RIPPER
782,RMSProp,RMSProp
783,RNSum,RNSum
784,ROC curve,courbe caractéristique de la performance d'un test
785,ROUGE,ROUGE
786,RSA,RSA
787,Rabin-Karp algorithm,algorithme de Rabin-Karp
788,Rademacher average,moyenne de Rademacher
789,Rademacher complexity,complexité de Rademacher
790,Radon-Nikodym derivative,dérivée de Radon-Nikodym
791,Rand similarity coefficient,coefficient de similarité de Rand
792,Random Forest classifier,classificateur de forêt aléatoire
793,RankBoost,algorithme RankBoost
794,Rao-Blackwellization,Rao-Blackwellisation
795,ReLU,redresseur demi-onde
796,Reading Comprehension,Compréhension de lecture
797,Receiver Operating Characteristic Curve,Courbe caractéristique de fonctionnement du récepteur
798,Recognizing Textual Entailment,Reconnaissance de l'implication textuelle
799,Recurrent layer,Couche récurrente
800,Reformer,Reformer
801,Regressor,Régressor
802,ResNeXt,ResNeXt
803,ResNet,réseau neuronal résiduel
804,RetNet,RetNet
805,Rete algorithm,algorithme Rete
806,Retrieval-Augmented Generation,Génération Augmentée par Récupération
807,Rhetorical Structure Theory,Théorie de la Structure Rhétorique
808,Riemannian geometry,géométrie riemannienne
809,Riemannian gradient,gradient riemannien
810,Riemannian manifold,variété riemannienne
811,Robertson-Webb model,modèle de Robertson-Webb
812,Routing Transformer,Transformer de routage
813,Rprop,Rprop
814,Runge-Kutta,Runge-Kutta
815,Runge-Kutta method,méthode de Runge-Kutta
816,Rényi entropy,entropie de Rényi
817,S node,nœud S
5476,S-expression,expression s
818,SARSA,SARSA
819,SHAP analysis,analyse SHAP
820,SHAP library,bibliothèque SHAP
821,SLD resolution,SLD-résolution
822,SMCalFlow,SMCalFlow
823,SPARQL,SPARQL
824,STING clustering,algorithme de regroupement STING
825,STRIPS,STRIPS
826,SUTD,SUTD
827,SVAMP,SVAMP
828,Sammon mapping,cartographie de Sammon
829,Scheffé's method,méthode de Scheffé
830,Schur complement,complément de Schur
831,Schuster periodogram,périodogramme de Schuster
5532,Scikit-learn,scikit-learn
5573,Self-supervised learning,apprentissage autosupervisé
833,Semantic,sémantique
834,Semantic Scholar,Semantic Scholar
5623,Semantic Web,web sémantique
835,Sentence-Piece,Sentence-Piece
836,Seq2Seq,Seq2Seq
838,Set Cover,Couverture d'ensemble
839,Shannon entropy,entropie de Shannon
840,Shapley additive explanations,explications additives de Shapley
841,Shapley value,valeur de Shapley
842,Shapley values,valeurs de Shapley
843,Sherman-Morrison formula,formule de Sherman-Morrison
844,Sherman-Morrison-Woodbury formula,formule de Sherman-Morrison-Woodbury
845,Siamese architecture,architecture siamoise
846,Siamese network,réseau siamois
847,Similar,similaire
848,Simpson's paradox,effet de Yule-Simpson
849,Sinkhorn algorithm,algorithme de Sinkhorn
850,Skolem function,fonction de Skolem
851,Sobel operator,algorithme de Sobel
852,Softmax layer,couche Softmax
854,Sparse Transformer,Sparse Transformer
855,Sparse reconstruction,Reconstruction éparse
856,Sparsemax,Sparsemax
857,Spearman correlation,Corrélation de Spearman
858,Spearman rank correlation,corrélation de rang de Spearman
859,Spearman's correlation,corrélation de Spearman
860,Spearman's correlation coefficient,coefficient de corrélation de Spearman
861,Spearman's rank correlation coefficient,coefficient de corrélation des rangs de Spearman
862,Squared Exponential kernel,noyau exponentiel au carré
863,Stanford Parser,Stanford Parser
864,Stanford Question Answering Dataset,Stanford Question Answering Dataset
865,Stanford Sentiment Treebank,Stanford Sentiment Treebank
866,Stanford dependency,dépendance Stanford
867,Stanford dependency framework,cadre de dépendance Stanford
868,Stanford dependency parser,analyseur de dépendances de Stanford
869,State-of-the-art,à la pointe de la technologie
870,Statistical Machine Translation,Traduction Automatique Statistique
871,Stein's paradox,paradoxe de Stein
872,Stein-Chen method,méthode de Stein-Chen
873,Story Cloze Test,Test de cloze d'histoires
874,Strassen algorithm,algorithme de Strassen
875,Structure from motion,Structure à partir du mouvement
876,Student's t-test,test de Student
877,Subgraph,Sous-graphe
878,Submodularity,Sous-modularité
879,Swin transformer,transformateur Swin
880,Swin-S,Swin-S
881,T5 model,modèle T5
882,T5-11B,T5-11B
883,T5-11B model,modèle T5-11B
884,T5-Large,T5-Large
885,T5-base,T5-base
886,T5-base model,modèle T5-base
887,T5-large model,modèle T5-large
889,Tacotron2,Tacotron2
890,Tanh,Tanh
891,Taylor approximation,approximation de Taylor
892,TensorBoard,tableau de bord TensorFlow
893,TensorFlow,TensorFlow
894,TensorFlow playground,TensorFlow playground
895,TensorFlow serving,serveur TensorFlow
896,Text Classification,Classification de texte
897,Text Summarization,Résumé de texte
898,Text-to-Text Transfer Transformer,Transformateur de transfert texte-à-texte
899,Theano,Theano
900,Therefore,par conséquent
901,Thompson sampling,échantillonnage de Thompson
902,TinyML,AA minuscule
903,Toeplitz matrix,matrice de Toeplitz
905,Topic Detection and Tracking,Détection et Suivi de Thèmes
6382,Transformer architecture,modèle autoattentif
907,Transformer block,bloc Transformer
908,Transformer decoder,décodeur Transformer
909,Transformer encoder,encodeur Transformer
911,Transformer-based language model,modèle de langage basé sur Transformer
912,Transformer-based model,modèle basé sur Transformer
913,Transformer-like,similaire aux transformeurs
914,Traveling Salesman Problem,Problème du voyageur de commerce
915,TreeDST,TreeDST
917,Triggering Model,Modèle de déclenchement
918,Tucker decomposition,décomposition de Tucker
919,Tukey's honest significance test,Test différence significative honnête de Tukey
920,Tukey's range test,méthode de Tukey
921,Turing machine,machine de Turing
922,Turing reduction,réduction de Turing
923,Turing test,test de Turing
924,U-Net,U-Net
925,U-statistic,U-statistique
927,Universal dependency,dépendance universelle
928,Upper Confidence Bound,borne supérieure de confiance
929,VALSE,VALSE
930,VC dimension,dimension de Vapnik-Chervonenkis
931,VFL,VFL
932,VGG-16,VGG-16
933,Vandermonde matrix,matrice de Vandermonde
934,Vertex Cover,Couverture de sommets
935,ViLBERT,ViLBERT
936,Viola & Jones method,méthode de Viola et Jones
6626,Vision Transformer,réseau autoattentif pour la vision
937,Visual Question Answering,Réponse à des questions visuelles
938,VisualBERT,VisualBERT
939,Viterbi,Viterbi
940,Viterbi algorithm,algorithme de Viterbi
941,Viterbi decoding,décodage de Viterbi
942,Voronoi diagram,diagramme de Voronoï
943,Wagner–Fischer algorithm,algorithme de Wagner-Fischer
944,Waltz algorithm,algorithme de Waltz
945,Wasserstein distance,distance de Wasserstein
946,Weibull,Weibull
947,Weibull distribution,loi de Weibull
948,Weisfeiler-Lehman test,test de Weisfeiler-Lehman
949,Weka,Weka
950,Wiener process,processus de Wiener
951,Wikipedia,wikipédia
952,Wilcoxon rank sum test,test de la somme des rangs de Wilcoxon
953,Wilcoxon signed-rank test,test des rangs signés de Wilcoxon
954,Winograd Schema,schéma de Winograd
955,Winograd Schema Challenge,défi du schéma de Winograd
956,Winogrande,Winogrande
957,Wizard of Oz experiment,expérience du Magicien d'Oz
958,Wizard of Oz method,méthode du magicien d'Oz
959,Woodbury matrix identity,identité de Woodbury
960,Word Mover's Distance,Distance de déplacement des mots
6721,Word2Vec,mot-à-vecteur
961,XLM,XLM
962,XLNet,XLNet
963,XNOR gate,porte XNOR
964,Xavier initialization,initialisation de Xavier
965,YOLO,YOLO
966,Z-score,Z-score
967,Zipf,Zipf
968,Zipf distribution,distribution de Zipf
969,Zipf's law,loi de Zipf
970,abductive explanation,explication abductive
971,abductive logic programming,programmation logique abductive
972,abductive reasoning,abduction
973,ablation,ablation
974,ablation analysis,analyse d'ablation
975,ablation experiment,expérience d'ablation
976,abstract data type,type abstrait
977,abstraction,abstraction
978,abstraction and reasoning corpus,corpus d'Abstraction et de Raisonnement
979,abstraction heuristic,heuristique d'abstraction
980,abstraction predicate,prédicat d'abstraction
981,abstractive summarization,résumé abstrait
982,accelerated gradient descent,descente de gradient accélérée
983,acceptance function,fonction d'acceptation
984,acceptance probability,probabilité d'acceptation
985,acceptance region,intervalle d'acceptation
986,acceptance sampling,échantillonnage pour acceptation
987,accumulated error,erreur accumulée
988,accuracy,exactitude
989,achieves,performance
990,acoustic feature,caractéristique acoustique
991,acoustic model,modèle acoustique
992,acquisition function,fonction d'acquisition
993,action classification,classification d'action
994,action embedding,embedding d'action
995,action learning,apprentissage par l'action
996,action model learning,apprentissage du modèle d'action
997,action recognition,reconnaissance d'action
998,action sequence,séquence d'action
999,action set,ensemble d'actions
1000,action space,espace d'action
1001,action-value function,fonction de valeur d'action
1002,actionability,actionnabilité
1003,activate,activation
1004,activation,activation
1005,activation function,fonction d'activation
1006,activation level,niveau d'activation
1007,activation matrix,matrice d'activation
1008,activation vector,vecteur d'activation
1009,active learning,apprentissage actif
1010,active learning loop,boucle d'apprentissage actif
1011,active set,ensemble actif
1012,activity detection,détection d'activité
1013,activity recognition,reconnaissance d'activité
1014,actor,acteur
1015,actor critic algorithm,algorithme acteur-critique
1016,actor network,réseau acteur
1017,actor-based programming,programmation par acteurs
1018,actor-critic framework,cadre acteur-critique
1019,actor-critic method,méthode acteur-critique
1020,actuator,actionneur
1021,acyclic graph,graphe acyclique
1022,adadelta,adadelta
1023,adapter-based fine-tuning,ajustement basé sur des adaptateurs
1024,adaptive AI,IA adaptative
1025,adaptive algorithm,algorithme adaptatif
1026,adaptive artificial intelligence,intelligence artificielle adaptative
1027,adaptive boosting algorithm,algorithme de boosting adaptatif
1028,adaptive gradient,gradient adaptatif
1029,adaptive learning environment,environnement d’apprentissage adaptatif
1030,adaptive system,système adaptatif
1031,adaptive thresholding,seuillage adaptatif
1032,additive Gaussian noise,bruit gaussien additif
1033,additive noise,bruit additif
1034,adjacency,adjacence
1035,adjacency matrix,matrice d'adjacence
1036,adjusted R-squared,R carré ajusté
1037,adjusted mean,moyenne corrigée
1038,admissible decision rule,règle de décision admissible
1039,admissible heuristic,heuristique admissible
1040,advantage function,fonction d'avantage
1041,advcl,advcl
1042,adversarial,antagoniste
1043,adversarial attack,attaque adverse
1044,adversarial dataset,ensemble de données adversarial
1045,adversarial example,exemple adversarial
1046,adversarial filtering,filtrage adversarial
1047,adversarial input,entrée adversariale
1048,adversarial learning,apprentissage adversarial
1049,adversarial loss,perte adversariale
1050,adversarial machine learning,apprentissage antagoniste
1051,adversarial network,réseau adversarial
1052,adversarial perturbation,perturbation adversariale
1053,adversarial prompt,prompt adversarial
1054,adversarial robustness,robustesse adversariale
1055,adversarial training,entraînement contradictoire
1056,adversary,adversaire
1057,advmod,advmod
1058,affective computing,informatique affective
1059,affective conversational interface,interface conversationnelle affective
1060,affine,affine
1061,affine subspace,sous-espace affine
1062,affine transform,transformation affine
1063,affine transformation,transformation affine
1064,affinity matrix,matrice d'affinité
1065,affinity measure,mesure d'affinité
1066,agent,agent
1067,agent architecture,architecture d'agents
1068,agent learning,apprentissage d'agent
1069,agent policy,politique d'agent
1070,agent's policy,politique de l'agent
1071,agent-based model,modèle basé sur les agents
1072,agentic AI,IA agentique
1073,aggregate data,donnée agrégée
1074,aggregate function,fonction agrégée
1075,aggregation,agrégation
1076,aggregation function,fonction d'agrégation
1077,aleatoric uncertainty,incertitude aléatoire
1078,algebraic simplification,simplification algébrique
1079,algorithm,algorithme
1080,algorithm class,classe d'algorithmes
1081,algorithm design,conception d'algorithmes
1082,algorithmic approach,approche algorithmique
1083,algorithmic auditing,audit algorithmique
1084,algorithmic bias,biais algorithmique
1085,algorithmic decision-making,décision algorithmique
1086,algorithmic fairness,équité algorithmique
1087,algorithmic learning theory,théorie de l'apprentissage algorithmique
1088,algorithmic probability,probabilité algorithmique
1089,algorithmic reasoning,algorithmique
1090,algorithmic stability,stabilité algorithmique
1091,algorithms,algorithmes
1092,algorithms of pattern extraction,ALOPEX
1093,alias table,table d'alias
1094,alignment algorithm,algorithme d'alignement
1095,alignment model,modèle d'alignement
1096,alpha compositing,composition alpha
1098,alphabet size,taille de l'alphabet
1099,alternating direction method of multipliers,algorithme des directions alternées
1100,alternating least square,moindres carrés alternés
1101,alternating minimization,minimisation alternée
1102,alternative hypothesis,alternative
1103,ambient intelligence,intelligence ambiante
1104,ambient space,espace ambiant
1105,ambiguity,ambiguïté
1106,analogical reasoning,raisonnement analogique
1107,analogy-based learning,apprentissage analogique
1108,analysis,analyse
1109,analysis of algorithms,analyse des algorithmes
1110,anaphor,anaphore
1111,anaphora resolution,résolution d'anaphore
1112,anaphoric reference,référence anaphorique
1113,ancestral sampling,échantillonnage ancestral
1114,anchor,ancre
1115,anchor box,boîte d'ancrage
1116,animat,animat
1117,animat approach,approche animat
1118,annealed importance sampling,échantillonnage d’importance par recuit
1119,annotated,annoté
1120,annotated corpus,corpus annoté
1121,annotated datum,donnée annotée
1122,annotation,annotation
1123,annotation artifact,artefact d'annotation
1124,annotation projection,projection d'annotation
1125,annotations,annotations
1126,annotator,annotateur
1127,annotator bias,biais de l'annotateur
1128,annotators,annotateurs
1129,anomaly,anomalie
1130,anomaly detection,détection d'anomalies
1131,anomaly score,score d'anomalie
1132,anonymization,anonymisation
1133,answer,réponse
1134,answer set,ensemble de réponses
